,datetime,pump_voltage_V,feedrate_ml_D
0,2023-06-06 15:04:47,0.003,-25.606368000000003
1,2023-06-06 15:04:54,0.003,-25.606368000000003
2,2023-06-06 15:05:01,0.003,-25.606368000000003
3,2023-06-06 15:05:08,0.003,-25.606368000000003
4,2023-06-06 15:05:15,0.003,-25.606368000000003
5,2023-06-06 15:05:23,0.003,-25.606368000000003
6,2023-06-06 15:05:30,0.003,-25.606368000000003
7,2023-06-06 15:05:37,0.003,-25.606368000000003
8,2023-06-06 15:05:44,0.003,-25.606368000000003
9,2023-06-06 15:05:51,0.003,-25.606368000000003
10,2023-06-06 15:05:58,0.003,-25.606368000000003
11,2023-06-06 15:06:05,0.003,-25.606368000000003
12,2023-06-06 15:06:12,0.003,-25.606368000000003
13,2023-06-06 15:06:19,0.003,-25.606368000000003
14,2023-06-06 15:06:26,0.003,-25.606368000000003
15,2023-06-06 15:06:33,0.003,-25.606368000000003
16,2023-06-06 15:06:40,0.003,-25.606368000000003
17,2023-06-06 15:06:47,0.003,-25.606368000000003
18,2023-06-06 15:06:54,0.003,-25.606368000000003
19,2023-06-06 15:07:01,0.003,-25.606368000000003
20,2023-06-06 15:07:08,0.003,-25.606368000000003
21,2023-06-06 15:07:16,0.003,-25.606368000000003
22,2023-06-06 15:07:23,0.003,-25.606368000000003
23,2023-06-06 15:07:30,0.003,-25.606368000000003
24,2023-06-06 15:07:37,0.003,-25.606368000000003
25,2023-06-06 15:07:44,0.003,-25.606368000000003
26,2023-06-06 15:07:51,0.003,-25.606368000000003
27,2023-06-06 15:07:58,0.003,-25.606368000000003
28,2023-06-06 15:08:05,0.003,-25.606368000000003
29,2023-06-06 15:08:12,0.003,-25.606368000000003
30,2023-06-06 15:08:19,0.003,-25.606368000000003
31,2023-06-06 15:08:26,0.003,-25.606368000000003
32,2023-06-06 15:08:33,0.003,-25.606368000000003
33,2023-06-06 15:08:40,0.003,-25.606368000000003
34,2023-06-06 15:08:47,0.003,-25.606368000000003
35,2023-06-06 15:08:54,0.003,-25.606368000000003
36,2023-06-06 15:09:01,0.003,-25.606368000000003
37,2023-06-06 15:09:08,0.003,-25.606368000000003
38,2023-06-06 15:09:16,0.003,-25.606368000000003
39,2023-06-06 15:09:23,0.003,-25.606368000000003
40,2023-06-06 15:09:30,0.003,-25.606368000000003
41,2023-06-06 15:09:37,0.003,-25.606368000000003
42,2023-06-06 15:09:44,0.003,-25.606368000000003
43,2023-06-06 15:09:51,0.003,-25.606368000000003
44,2023-06-06 15:09:58,0.003,-25.606368000000003
45,2023-06-06 15:10:05,0.003,-25.606368000000003
46,2023-06-06 15:10:12,0.003,-25.606368000000003
47,2023-06-06 15:10:19,0.003,-25.606368000000003
48,2023-06-06 15:10:26,0.003,-25.606368000000003
49,2023-06-06 15:10:33,0.003,-25.606368000000003
50,2023-06-06 15:10:40,0.003,-25.606368000000003
51,2023-06-06 15:10:47,0.003,-25.606368000000003
52,2023-06-06 15:10:54,0.003,-25.606368000000003
53,2023-06-06 15:11:01,0.003,-25.606368000000003
54,2023-06-06 15:11:08,0.003,-25.606368000000003
55,2023-06-06 15:11:16,0.003,-25.606368000000003
56,2023-06-06 15:11:23,0.003,-25.606368000000003
57,2023-06-06 15:11:30,0.003,-25.606368000000003
58,2023-06-06 15:11:37,0.003,-25.606368000000003
59,2023-06-06 15:11:44,0.003,-25.606368000000003
60,2023-06-06 15:11:51,0.003,-25.606368000000003
61,2023-06-06 15:11:58,0.003,-25.606368000000003
62,2023-06-06 15:12:05,0.003,-25.606368000000003
63,2023-06-06 15:12:12,0.003,-25.606368000000003
64,2023-06-06 15:12:19,0.003,-25.606368000000003
65,2023-06-06 15:12:26,0.003,-25.606368000000003
66,2023-06-06 15:12:33,0.003,-25.606368000000003
67,2023-06-06 15:12:40,0.003,-25.606368000000003
68,2023-06-06 15:12:47,0.003,-25.606368000000003
69,2023-06-06 15:12:54,0.003,-25.606368000000003
70,2023-06-06 15:13:01,0.003,-25.606368000000003
71,2023-06-06 15:13:08,0.003,-25.606368000000003
72,2023-06-06 15:13:16,0.003,-25.606368000000003
73,2023-06-06 15:13:23,0.003,-25.606368000000003
74,2023-06-06 15:13:30,0.003,-25.606368000000003
75,2023-06-06 15:13:37,0.003,-25.606368000000003
76,2023-06-06 15:13:44,0.003,-25.606368000000003
77,2023-06-06 15:13:51,0.003,-25.606368000000003
78,2023-06-06 15:13:58,0.003,-25.606368000000003
79,2023-06-06 15:14:05,0.003,-25.606368000000003
80,2023-06-06 15:14:12,0.003,-25.606368000000003
81,2023-06-06 15:14:19,0.003,-25.606368000000003
82,2023-06-06 15:14:26,0.003,-25.606368000000003
83,2023-06-06 15:14:33,0.003,-25.606368000000003
84,2023-06-06 15:14:40,0.003,-25.606368000000003
85,2023-06-06 15:14:47,0.003,-25.606368000000003
86,2023-06-06 15:14:54,0.003,-25.606368000000003
87,2023-06-06 15:15:01,0.003,-25.606368000000003
88,2023-06-06 15:15:09,0.003,-25.606368000000003
89,2023-06-06 15:15:16,0.003,-25.606368000000003
90,2023-06-06 15:15:23,0.003,-25.606368000000003
91,2023-06-06 15:15:30,0.003,-25.606368000000003
92,2023-06-06 15:15:37,0.003,-25.606368000000003
93,2023-06-06 15:15:44,0.003,-25.606368000000003
94,2023-06-06 15:15:51,0.003,-25.606368000000003
95,2023-06-06 15:15:58,0.003,-25.606368000000003
96,2023-06-06 15:16:05,0.003,-25.606368000000003
97,2023-06-06 15:16:12,0.003,-25.606368000000003
98,2023-06-06 15:16:19,0.003,-25.606368000000003
99,2023-06-06 15:16:26,0.003,-25.606368000000003
100,2023-06-06 15:16:33,0.003,-25.606368000000003
101,2023-06-06 15:16:40,0.003,-25.606368000000003
102,2023-06-06 15:16:47,0.003,-25.606368000000003
103,2023-06-06 15:16:54,0.003,-25.606368000000003
104,2023-06-06 15:17:01,0.003,-25.606368000000003
105,2023-06-06 15:17:09,0.003,-25.606368000000003
106,2023-06-06 15:17:16,0.003,-25.606368000000003
107,2023-06-06 15:17:23,0.003,-25.606368000000003
108,2023-06-06 15:17:30,0.003,-25.606368000000003
109,2023-06-06 15:17:37,0.003,-25.606368000000003
110,2023-06-06 15:17:44,0.003,-25.606368000000003
111,2023-06-06 15:17:51,0.003,-25.606368000000003
112,2023-06-06 15:17:58,0.003,-25.606368000000003
113,2023-06-06 15:18:05,0.003,-25.606368000000003
114,2023-06-06 15:18:12,0.003,-25.606368000000003
115,2023-06-06 15:18:19,0.003,-25.606368000000003
116,2023-06-06 15:18:26,0.003,-25.606368000000003
117,2023-06-06 15:18:33,0.003,-25.606368000000003
118,2023-06-06 15:18:40,0.003,-25.606368000000003
119,2023-06-06 15:18:47,0.003,-25.606368000000003
120,2023-06-06 15:18:54,0.003,-25.606368000000003
121,2023-06-06 15:19:02,0.003,-25.606368000000003
122,2023-06-06 15:19:09,0.003,-25.606368000000003
123,2023-06-06 15:19:16,0.003,-25.606368000000003
124,2023-06-06 15:19:23,0.003,-25.606368000000003
125,2023-06-06 15:19:30,0.003,-25.606368000000003
126,2023-06-06 15:19:37,0.003,-25.606368000000003
